Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Maison Blanche.;rue Charbonnel;12.0;130.0;XIIIe;rue Brillat-Savarin, 61.;rue de l'Amiral Mouchez, 57.
Faubourg Montmartre.;rue Cadet;10.0;300.0;IXe;rue du Faubourg Montmartre, 34.;rue Lamartine, 1, et rue de Montholon, 37.
Epinettes.;rue du Général Henrys;15.0;138.0;XVIIe;rue Jean Leclaire, 33.;boulevard Bessières, 27-31.
Batignolles.;voie K/17;8.0;29.0;XVIIe;rue Dulong, 29.;en impasse.
Plaine de Monceaux.;rue de l'Abbé Rousselot;20.0;125.0;XVIIe;boulevard Berthier, 116.;avenue Brunetière.
Clignancourt.;passage Duhesme;4.5;165.0;XVIIIe;rue du Mont Cenis, 112.;rue Championnet, 44.
Grandes Carrières.;rue du Capitaine Madon;5.5;165.0;XVIIIe;avenue de Saint-Ouen, 50.;rue Ganneron, 63.
Saint-Fargeau.;rue Jules Siegfried;6.0;160.0;XXe;rue Irénée Blanc, 1.;rue Paul Strauss, 32, et rue Irénée Blanc, 29.
Belleville.;place Alphonse Allais;30.0;45.0;XXe;à la rencontre des rues de Tourtille, Bisson et de Pali-Kao.;
Saint-Fargeau.;rue Dulaure;20.0;154.0;XXe;boulevard Mortier, 36.;rue le Vau, 9.
Charonne.;rue Florian;7.0;190.0;XXe;rue Vitruve, 37.;rue de Bagnolet, 104.
Père Lachaise.;passage du Ruisseau de Ménilmontant;0.0;0.0;XXe;rue Boyer, 26.;rue du Retrait, 25.
Sur les territoires de Fontenay-sous-Bois et Nogent-sur-Marne.;avenue de la Belle Gabrielle;14.0;1850.0;Limitrophe;avenue de Fontenay.;carrefour de Beauté.
Jardin des Plantes. Salpêtrière. Croulebarbe.;avenue des Gobelins;40.0;765.0;Ve,XIIIe;rue Monge, 123, et rue Claude Bernard.;place d'Italie, 1.
Jardin des Plantes. Val de Grâce. Croulebarbe. Montparnasse.;boulevard de Port-Royal;40.0;1130.0;Ve,XIIIe,XIVe;avenue des Gobelins, 22 et boulevard Arago, 2.;avenue de l'Observatoire, 49 et avenue Georges Bernanos, 47.
Monnaie.;rue Jacques Callot;15.0;62.0;VIe;rue Mazarine, 42-46.;rue de Seine, 47.
Monnaie. Odéon. Saint-Germain des Prés.;rue de Seine;11.7;665.0;VIe;quai Malaquais, 3.;rue Saint-Sulpice, 16.
Europe.;rue Maleville;12.0;103.0;VIIIe;rue Corvetto, 7.;rue Mollien, 4.
Europe.;place du Pérou;27.0;44.0;VIIIe;au croisement de l'avenue de Messine, et  boulevard Haussmann.;
Picpus.;route du Pesage;11.0;1050.0;XIIe;avenue de Gravelle.;route Saint-Hubert.
Maison Blanche.;rue Eugène Atget;4.0;117.0;XIIIe;rue Jonas, 1 et 2.;boulevard Auguste Blanqui, 59.
Montparnasse.;rue Poinsot;10.0;80.0;XIVe;boulevard Edgar Quinet, 25.;rue du Maine, 10.
Amérique. Combat.;rue Petit;12.0;1080.0;XIXe;avenue de Laumière, 32 et rue de Meaux, 94.;place du Général Cochet, et rue Manin.
Grenelle.;rue du Commerce;18.0;675.0;XVe;boulevard de Grenelle, 128.;rue des Entrepreneurs, 99.
Necker.;rue Copreaux;10.0;176.0;XVe;rue Blomet, 31.;rue de Vaugirard, 202.
Roquette.;rue Froment;12.0;210.0;XIe;rue Sedaine, 23.;rue du Chemin Vert, 18.
Roquette.;passage Gustave Lepeu;7.0;147.0;XIe;rue Léon Frot, 48.;rue Émile Lepeu, 31.
Sainte-Marguerite. Picpus.;place de la Nation;0.0;0.0;XIe,XIIe;rue du Faubourg Saint-Antoine.;avenue du Trône.
Quinze-Vingts.;ruelle Bidault;3.3;67.0;XIIe;avenue Daumesnil, 123.;rue de Charenton, 158.
Montparnasse. Necker.;rue du Départ;36.0;340.0;XIVe,XVe;boulevard du Montparnasse, 68.;avenue du Maine, 39.
Quinze-Vingts.;rue de Cotte;9.74;310.0;XIIe;rue de Charenton, 91.;rue du Faubourg Saint-Antoine, 126, et rue Crozatier, 83.
Bel Air. Picpus. Bercy.;boulevard Poniatowski;28.8;1450.0;XIIe;quai de Bercy.;avenue Daumesnil, 282 et place Edouard Renard, 2.
Muette.;rue Robert Le Coin;10.0;52.0;XVIe;rue du Ranelagh, 60.;en impasse
Gare.;rue Charles Bertheau;6.0;136.0;XIIIe;rue Simone Weil.;avenue de Choisy, 38.
Faubourg Montmartre.;rue Riboutté;9.74;55.0;IXe;rue Bleue, 12.;rue La Fayette, 82 et rue Papillon, 9.
Montparnasse. Petit Montrouge.;rue Boulard;13.0;425.0;XIVe;rue Froidevaux, 11.;rue Brézin, 28.
Plaisance.;avenue de la Porte Didot;20.0;95.0;XIVe;boulevard Brune, 42.;avenue Marc Sangnier.
Auteuil.;port d'Auteuil;0.0;1660.0;XVIe;pont de Grenelle.;quai Saint-Exupéry.
Montparnasse.;rue Auguste Mie;10.0;50.0;XIVe;rue Froidevaux, 73.;avenue du Maine, 97.
Croulebarbe.;rue de Croulebarbe;10.0;555.0;XIIIe;avenue des Gobelins, 44.;rue Corvisart, 57.
Combat.;rue Michel Tagrine;2.5;52.0;XIXe;rue Georges Lardennois, 64.;rue Georges Lardennois, 2 bis.
Maison Blanche.;place DY/13;31.0;51.0;XIIIe;rue André Pieyre de Mandiargues, 3.;
Maison Blanche.;rue d'Italie;12.0;47.0;XIIIe;rue Damesme, 24.;rue du Moulin des Prés, 99.
Maison Blanche.;passage J/13;8.0;34.0;XIIIe;rue de la Butte aux Cailles, 17.;en impasse.
Maison Blanche.;voie GT/13;;;XIIIe;avenue de la Porte d'Italie, 10.;voie GU/13, 1.
Maison Blanche.;voie GU/13;;;XIIIe;voie GT/13, 1.;voie DI/13.
Gros Caillou. Grenelle.;place de Sydney;0.0;0.0;VIIe, XVe;avenue Octave Gréard, avenue de Suffren, et rue Jean Rey.;
Halles.;rue de Viarmes;18.0;125.0;Ier;rue Sauval, rive paire.;rue Clémence Royer, rive paire.
Halles. Saint-Merri.;rue de La Reynie;16.0;174.0;Ier,IVe;rue Quincampoix, 17.;rue Saint-Denis, 32.
Palais Royal.;galerie de Chartres;2.4;68.0;Ier;galerie du Théâtre Français, et galerie de Nemours.;péristyle de Montpensier, et galerie de la Cour d'honneur.
Arsenal.;rue du Petit Musc;12.0;333.0;IVe;quai des Célestins, 2.;rue Saint-Antoine, 23.
Bonne Nouvelle.;rue du Caire;12.0;330.0;IIe;boulevard de Sébastopol, 111.;rue de Damiette, 6, et place du Caire, 2.
Sorbonne.;rue Paillet;10.0;39.0;Ve;rue Soufflot, 9.;rue Malebranche, 4.
Sorbonne.;rue Valette;12.0;145.0;Ve;rue de Lanneau, 1, et rue de l'Ecole Polytechnique, 19 bis.;place du Panthéon, 8.
Jardin des Plantes. Quinze-Vingts. Salpêtrière.;pont d'Austerlitz;32.0;200.0;Ve,XIIe,XIIIe;place Mazas.;quai d'Austerlitz, et quai Saint-Bernard.
Saint-Germain des Prés.;rue de Bourbon Le Château;10.0;37.0;VIe;rue de Buci, 26.;rue de l'Échaudé, 19.
Odéon.;rue Herschel;12.0;60.0;VIe;boulevard Saint-Michel, 70.;avenue de l'Observatoire, 9.
Saint-Ambroise.;cité de l'Industrie;5.0;105.0;XIe;rue Saint-Maur, 90.;rue Oberkampf, 98.
Odéon.;rue de l'Odéon;12.9;176.0;VIe;carrefour de l'Odéon, 16.;place de l'Odéon, 12.
Saint-Ambroise.;passage Rochebrune;7.0;91.0;XIe;rue Rochebrune, 9.;en impasse au-delà du passage Guilhem.
Invalides.;place du Président Édouard Herriot;0.0;0.0;VIIe;au débouché de la rue de l'Université sur la rue Aristide Briand.;
Folie-Méricourt.;rue Jean-Pierre Timbaud;11.7;1150.0;XIe;boulevard du Temple, 20.;boulevard de Belleville, 35.
Invalides.;rue Paul Et Jean Lerolle;0.0;0.0;VIIe;rue Fabert, 7.;en impasse
Saint-Ambroise. Roquette.;rue du Chemin Vert;15.0;1511.0;XIe;boulevard Beaumarchais, 46.;avenue de la République, 132, et boulevard de Ménilmontant, 67.
Porte Saint-Martin.;rue Taylor;10.0;170.0;Xe;rue René Boulanger, 62.;rue du Château d'Eau, 25.
Picpus.;place Maurice De Fontenay;28.0;55.0;XIIe;rue de Reuilly, 48-56, au droit de l'église Saint-Eloi.;
Chapelle.;rue de l'Olive;10.0;115.0;XVIIIe;rue Riquet, 92.;rue de Torcy, 27.
Picpus.;avenue de Gravelle;19.0;2325.0;XIIe;1° tronçon: avenue des Canadiens. / 2° tronçon:  à la limite du territoire de Charenton-le-Pont.;1° tronçon: à la limite du territoire de Saint-Maurice. / 2° tronçon: avenue de la Porte de Charenton.
Clignancourt.;rue André Messager;15.0;154.0;XVIIIe;rue Letort, 21.;rue Championnet, 93, et rue du Ruisseau, 74.
Bercy. Gare.;pont de Tolbiac;20.0;200.0;XIIe,XIIIe;quai de Bercy.;quai de la Gare.
Clignancourt.;impasse du Tertre;2.5;14.0;XVIIIe;rue Norvins, 3.;
Montparnasse.;place de l'Île de Sein;34.0;47.0;XIVe;à la rencontre du boulevard Arago et de la rue du Faubourg Saint-Jacques et de l'allée Nina Simone.;
Gare.;place Jean-Michel Basquiat;20.0;95.0;XIIIe;avenue de France, 133.;promenade Claude Lévi-Strauss.
Saint-Lambert.;impasse du Labrador;4.0;60.0;XVe;rue Camulogène, 5.;
Clignancourt.;rue Versigny;12.0;155.0;XVIIIe;rue du Mont Cenis, 103.;rue Letort, 22.
Necker.;rue Quinault;10.0;120.0;XVe;rue Auguste Dorchain, 6, et rue Meilhac.;rue Mademoiselle, 55.
Charonne.;avenue Cartellier;24.0;220.0;XXe;avenue de la Porte de Bagnolet.;avenue de la République, à Bagnolet.
Gare.;rue Dalloz;13.0;40.0;XIIIe;rue Dupuy de Lôme, 8.;boulevard Masséna, 71.
Saint-Fargeau.;voie EQ/20;13.0;100.0;XXe;autoroute A3.;boulevard Périphérique extérieur est.
Madeleine. Chaussée d'Antin.;rue de Sèze;10.0;142.0;VIIIe,IXe;boulevard de la Madeleine, 2.;place de la Madeleine, 26.
Père Lachaise.;rue Gasnier-Guy;10.0;106.0;XXe;rue des Partants, 30.;rue Sorbier, 46 et place Martin Nadaud, 3.
Champs Elysées. Chaillot.;avenue Marceau;40.0;910.0;VIIIe,XVIe;avenue du Président Wilson, 6.;place Charles de Gaulle.
Grandes Carrières.;rue Fauvet;10.0;130.0;XVIIIe;rue Ganneron, 51.;avenue de Saint-Ouen, 36.
Amérique.;place Charles Monselet;;;XIXe;à l'angle des boulevards Sérurier et d'Algérie.;
Ternes.;place de la Porte de Champerret;0.0;0.0;XVIIe;boulevard Gouvion-Saint-Cyr, 8 et avenue Stéphane Mallarmé, 14.;boulevard de la Somme, 25.
Place Vendôme.;rue de Mondovi;10.0;73.0;Ier;rue de Rivoli, 252.;rue du Mont Thabor, 29.
Ternes.;place du Général Koenig;0.0;0.0;XVIIe;à la rencontre des boulevards Pershing et d'Aurelle de Paladines, de l'avenue de la Porte des Ternes et limité au boulevard Gouvion-Saint-Cyr.;
Saint-Germain l'Auxerrois.;rue des Deux Boules;10.0;80.0;Ier;rue des Lavandières Sainte-Opportune, 17.;rue Bertin Poirée, 20.
Ternes.;place Yvon et Claire Morandat;0.0;0.0;XVIIe;au débouché des rues Brunel, Villaret de Joyeuse et des Acacias sur l'avenue de la Grande Armée.;
Arts et Métiers.;rue Conté;15.0;60.0;IIIe;rue de Turbigo, 57, et rue Montgolfier, 1.;rue Vaucanson, 4.
Ternes.;rue Jean Oestreicher;30.0;110.0;XVIIe;rue du Caporal Peugeot, 5.;avenue de la Porte de Champerret, 6.
Saint-Germain l'Auxerrois.;quai de l'Horloge;8.5;352.0;Ier;boulevard du Palais, 2, et pont au Change.;place du Pont Neuf, 13, et Pont Neuf.
Chapelle.;rue Boucry;12.0;300.0;XVIIIe;place Hébert, 7.;rue de la Chapelle, 66.
Saint-Georges. Rochechouart. Clignancourt.;rue des Martyrs;12.0;885.0;IXe,XVIIIe;rue Notre-Dame de Lorette, 2 et rue Lamartine, 64.;rue La Vieuville, 14.
Grandes Carrières.;rue Bernard Dimey;10.0;135.0;XVIIIe;passage Charles Albert, 31, et rue Jules Cloquet, 1.;rue Vauvenargues, 70.
Val de Grâce.;rue Fustel de Coulanges;8.0;90.0;Ve;rue Pierre Nicole, 41.;rue Saint-Jacques, 344.
Auteuil.;rue Gudin;10.0;105.0;XVIe;boulevard Murat, 123 bis-125.;avenue de Versailles, 215.
Monnaie.;rue Gît-Le-Coeur;10.0;112.0;VIe;quai des Grands Augustins, 23.;rue Saint-André des Arts, 28.
Chaillot.;rue Newton;12.0;96.0;XVIe;avenue Marceau, 73.;avenue d'Iéna, 82.
Monnaie.;rue Francisque Gay;12.0;26.0;VIe;boulevard Saint-Michel, 6.;rue Hautefeuille, 1, et place Saint-André des Arts, 3.
Chaillot.;rue Léonard de Vinci;10.0;276.0;XVIe;rue Paul Valéry, 37 bis.;place Victor Hugo, 2.
Bercy.;voie CC/12;12.0;325.0;XIIe;boulevard Périphérique intérieur est.;boulevard Poniatowski.
Belleville.;rue des Rigoles;15.0;500.0;XXe;rue Pixérécourt, 23 et rue Olivier Métra, 3.;rue Levert, 6, et rue du Jourdain, 2.
Gare.;rue Regnault;12.0;990.0;XIIIe;en impasse en-deçà de la rue du Loiret, 1.;avenue d'Ivry, 20.
Epinettes.;villa Saint-Ange;13.0;87.0;XVIIe;passage Saint-Ange, 8.;rue Jean Leclaire, 28.
Plaisance.;cité Blanche;5.0;94.0;XIVe;rue Raymond Losserand, 190.;en impasse
Javel.;rue Lacordaire;11.0;478.0;XVe;rue de Javel, 80.;rue Saint-Charles, 177.
Montparnasse.;rue Leclerc;10.0;85.0;XIVe;rue du Faubourg Saint-Jacques, 72 et allée Nina Simone.;boulevard Saint-Jacques, 50.
Plaisance.;rue Maurice Rouvier;10.0;153.0;XIVe;rue Raymond Losserand, 166.;rue Vercingétorix, 183.
Pont de Flandre.;sente à Bigot;12.0;65.0;XIXe;boulevard de la Commanderie, 13.;en impasse
Vivienne.;passage Colbert;3.0;20.0;IIe;rue des Petits Champs, 6.;galerie Colbert.
Bonne Nouvelle.;rue des Forges;8.0;63.0;IIe;rue de Damiette, 2.;rue du Caire, 49.
Vivienne. Mail.;place des Petits Pères;0.0;0.0;IIe;au droit de l'église Notre-Dame des Victoires au débouché de rue du Mail, rue Notre-Dame des Victoires, passage des Petits Pères, et limitée à la rue des Petits Pères.;
Archives.;rue Elzévir;10.0;167.0;IIIe;rue des Francs Bourgeois, 24.;place de Thorigny, 3 et rue du Parc Royal, 21.
Porte Saint-Martin.;impasse Martini;3.0;28.0;Xe;rue du Faubourg Saint-Martin, 21-25.;
Saint-Georges.;place de Budapest;0.0;0.0;IXe;rue d'Amsterdam, rue de Budapest.;
Saint-Georges.;rue de la Trinité;11.0;101.0;IXe;rue Blanche, 7.;rue de Clichy, 8.
Chapelle.;rue de la Guadeloupe;10.0;130.0;XVIIIe;rue Pajol, 67.;rue de l'Olive, 8.
Grandes Carrières.;rue Robert Planquette;7.0;100.0;XVIIIe;rue Lepic, 22.;en impasse au-delà du passage Lepic.
Clignancourt.;rue Seveste;8.0;144.0;XVIIIe;boulevard de Rochechouart, 56.;place Saint-Pierre, 7.
Clignancourt.;place Suzanne Valadon;25.0;40.0;XVIIIe;entre les rues André Barsacq, Foyatier et Tardieu, la place Saint-Pierre et le square Willette.;
Saint-Fargeau.;rue du Lieutenant Chauré;11.0;135.0;XXe;rue du Capitaine Ferber, 37 et rue Alphonse Penaud, 1.;rue Étienne Marey, 14.
Saint-Fargeau.;rue de la Dhuis;8.0;130.0;XXe;rue de l'Adjudant Réau, 5.;rue du Surmelin, 34.
Belleville.;rue Étienne Dolet;14.0;246.0;XXe;boulevard de Belleville, 6-14.;rue Julien Lacroix, 5, et place Maurice Chevalier, 1.
Belleville.;place Fréhel;12.0;24.0;XXe;à l'angle des rues de Belleville et Julien Lacroix.;
Charonne.;rue Louis Ganne;18.0;111.0;XXe;boulevard Davout, 162.;rue Louis Lumière, 73.
Batignolles.;rue Stéphane Grappelli;13.0;120.0;XVIIe;rue Marguerite Long, 22.;en impasse.
Bercy.;place Moussa et Odette Abadi;0.0;0.0;XIIe;intersection de la rue de Charenton et de l'avenue Daumesnil.;
Pont de Flandre.;boulevard de la Commanderie;15.0;180.0;XIXe;place Auguste Baron.;boulevard Félix Faure à la limite du territoire d'Aubervilliers et rue Emile Reynaud.
Grenelle.;rue de l'Avre;12.0;152.0;XVe;boulevard de Grenelle, 138.;rue Letellier, 41.
Necker.;rue Barthélemy;15.0;100.0;XVe;avenue de Breteuil, 82.;avenue de Suffren, 161.
Auteuil.;cour Jasmin;3.0;32.0;XVIe;rue Jasmin, 16.;en impasse
Auteuil.;rue Fantin Latour;12.0;188.0;XVIe;quai Louis Blériot, 172-176.;boulevard Exelmans, 17.
Clignancourt.;voie R/18;0.7000000000000001;57.0;XVIIIe;rue Letort, 30.;en impasse
Auteuil.;avenue des Tilleuls;10.0;280.0;XVIe;avenue du Square, 6.;boulevard de Montmorency, 53.
Batignolles.;passage Geffroy-Didelot;4.0;107.0;XVIIe;boulevard des Batignolles, 90.;rue des Dames, 117.
Epinettes.;cité des Fleurs;5.0;315.0;XVIIe;avenue de Clichy, 154, et rue Guy Môquet, 1.;rue de la Jonquière, 59.
Epinettes.;rue Fructidor;6.0;250.0;XVIIe;rue La Fontaine (à la limite du territoire de Saint-Ouen) et rue Toulouse Lautrec.;en impasse.
Batignolles.;rue de Monbel;12.0;85.0;XVIIe;rue de Tocqueville, 102.;boulevard Pereire, 31-47.
Grandes Carrières.;rue Jean Dollfus;12.0;148.0;XVIIIe;rue Leibniz, 50.;boulevard Ney, 117.
Necker. Saint-Lambert. Javel.;rue Lecourbe;17.0;2400.0;XVe;boulevard Pasteur, 2 et boulevard Garibaldi, 96.;boulevard Victor, 5.
Auteuil. Muette.;carrefour des Cascades;0.0;0.0;XVIe;à la rencontre de l'avenue de l''Hippodrome, de la route des Lacs à Passy et des chemins de Ceinture du Lac Supérieur et du Lac Inférieur.;
Muette.;rue Davioud;12.0;240.0;XVIe;avenue Mozart, 23, et rue du Général Aubé, 9.;rue de l'Assomption, 48.
Europe.;avenue Ruysdaël;20.0;76.0;VIIIe;place de Rio de Janeiro, 5.;au parc de Monceau.
Champs Elysées.;avenue Edward Tuck;12.0;200.0;VIIIe;cours La Reine.;avenue Dutuit.
Madeleine. Chaussée d'Antin.;rue du Havre;27.5;156.0;VIIIe,IXe;boulevard Haussmann, 70.;place du Havre, 13-14.
Porte Saint-Denis.;passage des Petites Écuries;3.5;60.0;Xe;cour des Petites Ecuries, 14.;rue des Petites Ecuries, 15.
Saint-Victor.;rue Saint-Victor;16.0;138.0;Ve;rue des Ecoles, 6, et rue de Poissy, 32.;rue Monge, 11, et rue des Bernardins.
Monnaie. Odéon.;place Henri Mondor;14.0;85.0;VIe;boulevard Saint-Germain.;
Maison Blanche.;rue du Docteur Leray;15.0;140.0;XIIIe;rue Damesme, 34.;place de l'Abbé Georges Hénocque, 13.
